Distance,Speed,Lateral G,Longitudinal G
1743,89.199999,-0.77635693,0.708437760
1746,91.449999,-0.73508113,0.671807724
1748,93.899999,-0.70068463,0.693785746
1751,95.699999,-0.68192291,0.712100764
1753,97.399999,-0.64314867,0.603431656
1756,100.099999,-0.60499983,0.505751558
1759,100.499999,-0.59624436,0.572906625
1762,103.249999,-0.58248576,0.676691729
1765,105.499999,-0.55934630,0.635177687
1768,106.699999,-0.50493729,0.574127626
1771,108.899999,-0.38423685,0.598547651
1774,110.999999,-0.24117046,0.579011631
1777,112.799999,-0.12104605,0.528950581
1780,114.899999,-0.00737303,0.531392583
1783,116.899999,0.07894736,0.498425550
1787,118.649999,0.16495506,0.467900520
1790,120.249999,0.24261874,0.455690508
1793,122.199999,0.32220796,0.439817492
1797,124.049999,0.40436457,0.419060471
1800,125.549999,0.47432606,0.412955465
1804,127.099999,0.50385109,0.395861448
1807,128.899999,0.54492939,0.303065355
1811,129.799999,0.57573812,0.283529336
1814,131.449999,0.62195121,0.347021399
1818,132.499999,0.68100128,0.336032388
1822,134.299999,0.72721437,0.322601375
1826,135.799999,0.78048780,0.312833365
1829,137.599999,0.80680359,0.310391363
1833,138.849999,0.81707317,0.310391363
1837,140.099999,0.78947368,0.301844354
1841,141.599999,0.76059050,0.299402352
1845,142.899999,0.74775353,0.305507358
1849,144.149999,0.76508344,0.296960349
1853,145.799999,0.78177150,0.283529336
1857,147.199999,0.79139923,0.268877321
1861,148.199999,0.77920410,0.257888310
1865,149.699999,0.77856225,0.266435318
1869,150.999999,0.78947368,0.266435318
1874,152.299999,0.80551989,0.257888310
1878,153.599999,0.85494223,0.249341301
1882,154.999999,0.86071887,0.237131289
1887,156.499999,0.88254172,0.233468286
1891,157.399999,0.91078305,0.233468286
1895,158.699999,0.89152760,0.231026283
1900,160.199999,0.87804878,0.232247285
1904,161.099999,0.82670090,0.208887603
1909,162.399999,0.77086007,0.168144721
1913,162.949999,0.72978177,0.171871987
1918,164.449999,0.67522464,0.217595270
1922,165.699999,0.65019255,0.222479275
1927,166.299999,0.62323491,0.223700276
1932,167.949999,0.57766366,0.233468286
1936,168.949999,0.55327342,0.232247285
1941,170.199999,0.49486521,0.240794293
1946,171.599999,0.46469833,0.234689287
1950,171.849999,0.44865212,0.220037272
1955,173.849999,0.42682927,0.231026283
1960,174.599999,0.43003851,0.226142278
1965,175.549999,0.41720154,0.213932266
1970,176.899999,0.39537869,0.222479275
1975,178.149999,0.38061617,0.213932266
1980,178.849999,0.35044929,0.217595270
1985,180.349999,0.33504493,0.220037272
1990,180.749999,0.29845956,0.217595270
1995,182.149999,0.25224646,0.222479275
2000,182.699999,0.21566110,0.218816271
2005,184.149999,0.17458279,0.202943255
2010,184.799999,0.15211809,0.211490264
2015,186.099999,0.15147624,0.243236295
2020,187.399999,0.15083440,0.242015294
2026,188.149999,0.13157894,0.227363280
2031,189.299999,0.10012836,0.237131290
2036,190.149999,0.05969191,0.223700276
2042,191.299999,0.03337612,0.232247284
2047,192.499999,0.02246469,0.235910288
2052,193.399999,0.01604621,0.202943255
2058,193.799999,0.01797176,0.222479275
2063,195.349999,0.00834403,0.234689287
2068,196.149999,-0.00320924,0.191922112
2074,196.899999,-0.01668806,0.148865754
2079,197.449999,-0.03530166,0.153749759
2085,198.299999,-0.04813863,0.190733243
2090,199.099999,-0.05391527,0.187070239
2096,199.799999,-0.04236199,0.196838249
2102,200.849999,-0.02053915,0.193175245
2107,201.499999,-0.00513479,0.185849238
2113,202.449999,-0.00128370,0.191954244
2118,203.249999,-0.01219512,0.182186234
2124,203.999999,-0.03915276,0.190733243
2130,204.949999,-0.04428754,0.189512241
2135,205.549999,-0.03145058,0.161397082
2141,205.749999,-0.00962773,-0.041931753
2147,202.699999,0.00320924,-0.493734335
2152,200.499999,-0.01537145,-0.924812030
2158,194.899999,-0.07024126,-1.245614035
2163,189.749999,-0.12560481,-1.473684210
2168,182.599999,-0.16694644,-1.515037594
2173,179.749999,-0.18536255,-1.516290726
2178,175.999999,-0.16064316,-1.518796992
2183,170.499999,-0.12642769,-1.467418546
2188,166.749999,-0.10501629,-1.433583960
2192,161.999999,-0.09747868,-1.353383458
2197,158.149999,-0.12152331,-1.241854636
2201,154.599999,-0.16325992,-1.184210526
